ID,Title,Selling price,Author,Date borrowed,Due date,Late return fine,Days on the loan,Days overdue
2eab7773-b16f-48ea-81b3-91e5a3de716f,Language Arts,3,Carter Grey,11/17/4130,10/2/3415,7,1,7/9/9078
67db2b0e-ad1e-4118-b96e-54c7a8c590fe,History,1,Blake Redden,3/23/8452,9/2/8969,3,2,6/12/5179
184404b2-aa93-412f-b6de-55ae0bb71a57,Instrumental Music,7,Rachael Sawyer,10/10/1554,8/17/6870,6,6,2/2/3748
f71faa6e-d1c0-4d62-b463-65bf6d6ed20e,Geography,1,Rocco Walker,10/29/3030,8/29/7501,2,6,7/24/3867
c133dd55-7bfb-448c-8338-ec0b32159cca,Physical Education,6,Aileen Brett,5/28/9041,2/25/7087,3,4,4/13/5734
e62e5f73-8b5e-4371-a67d-248475e9afea,Resource Program,7,Crystal Jackson,9/8/1016,4/11/3988,6,7,2/12/9113
2342cc7f-ce0f-4c2e-a14f-aca199f0db3a,Design and technology,1,Tony Cobb,5/3/2449,1/11/0210,1,6,1/12/8145
55fc1f1d-a7a5-411a-8c42-50ccbf98ff4a,Spanish,5,Logan Saunders,9/3/7710,6/28/3099,2,3,4/6/0954
4ac9f211-9c08-4b84-880b-49a4b95210da,Latin,8,Bryon Bailey,6/11/2973,9/7/1054,4,3,3/9/2059
eed0cd8f-2187-476b-9aec-c413c4673fa5,English IV,4,Clarissa Wheeler,3/18/4616,4/4/4535,0,5,8/17/5973
1007de6a-342d-498b-9f35-ffb75ea91215,Music,4,Carl Rowlands,12/5/3107,12/22/9681,5,6,4/19/2000
46b3bdef-7d65-471e-9194-db11d174c6b5,LOGIC,2,Olivia Stewart,11/10/1903,10/10/7974,0,5,12/14/4839
52890eef-1484-493c-bf99-8d86455a7818,French,2,Marie Watson,1/14/6161,9/30/5007,2,1,11/21/5039
db052cbe-8e23-4ddb-ae0d-f2b1e3ebcba1,Design and technology,5,Mark Fenton,4/11/6581,11/10/9936,1,0,12/30/9070
9aef8321-fbe4-4b69-b2e3-0b868dea4583,Leadership,7,Alexander Aldridge,5/2/5128,11/3/6167,6,4,4/27/3757
c04b742d-5ca9-4387-b6d5-2e27429f415d,English IV,0,Joy Riley,9/2/3641,11/4/7417,1,7,2/26/6160
0bcd27e2-0ad5-4f4b-bffe-becc92a74c80,Grammar,0,Fred Allcott,9/23/4803,3/7/3401,0,3,5/12/7281
ab455c4d-d7d2-4b2d-893b-816f94fa4d68,Economics,3,Percy Hale,7/26/1988,4/13/4582,4,1,3/21/8895
a2b66857-f4e0-40e4-a050-178b1b6bdb36,Modern Literature,4,Doug Maxwell,8/28/0535,6/19/2701,5,8,1/10/9087
46374673-514f-45d4-82ad-7a7f1e29e67b,French,8,Dorothy Walton,8/8/9374,6/16/2926,1,7,6/7/4362
ef5c68d2-6c9f-496a-83e5-e70dba94ce6e,Geography,1,Hadley Logan,10/20/9993,10/22/5744,2,6,5/27/8222
85d2855d-ac5a-46b4-95dd-672755a83939,Modern Literature,2,Hayden Egerton,3/8/7097,10/14/2780,3,1,3/7/9067
374fe38f-671b-42a4-b5c9-1a183481d1c8,Sociology,5,Cedrick Funnell,10/17/6144,9/1/8601,6,6,12/24/8473
4f1adcd0-5e81-46d8-90ac-b23a0815ea14,Ecology,4,Lindsay Gates,3/1/7684,3/6/1436,2,7,12/9/9362
f7ad5ef2-d3d0-47d4-830e-8e43b345f885,History,6,Carolyn Stevens,11/26/2222,2/17/3816,4,3,5/13/2404
f3c657fc-4af9-4ec6-a44e-02e1b631f555,American Literature,2,Natalie Andrews,7/23/6108,9/22/0688,6,2,1/14/7643
4b8c45d7-fdae-421b-94d3-76986a2040b6,Health,0,Morgan Haines,5/7/0524,10/9/8970,5,2,8/2/5266
d46b5869-3b10-45d9-a1b7-edac7f2324f9,English IV,0,Mike Utterson,11/30/8976,12/31/7772,5,2,2/7/5366
545eecda-1695-48b1-a72e-ffcf85a1b94e,American Literature,2,Matt Rose,11/6/5422,1/11/1814,3,7,8/2/3114
dee0e99b-551c-49ec-a0fd-4cb9fdfc1ae7,Spanish,0,Aiden Kent,8/13/8189,5/4/3829,8,6,2/8/7484
8ce93d70-07b6-41cc-932c-a4e44d4c2b08,Science,7,Alexander Stanley,11/1/3775,8/3/3256,7,6,2/28/5534
3643abae-23ce-4d9d-ae8a-8b8c6f639183,Sociology,4,Taylor Waterson,5/1/6835,9/3/2589,3,7,7/21/5187
16bde43d-fa19-4f4a-a3ea-83b66763d2c8,Leadership,6,Jayden Chappell,12/11/8119,7/16/2689,1,2,8/6/1662
690897c8-591b-4679-8337-c2a83a8a53bf,American Literature,2,Joyce Reese,5/10/2750,12/17/9737,3,3,11/22/1671
db8655ca-3665-4392-81fe-74b69cfdc90c,Dramatics,1,Teagan Broomfield,5/6/8076,3/10/4886,7,7,6/7/3311
0aab64a5-0526-4322-bdbb-485d06bfee97,Handwriting,8,Ethan Allen,4/1/1010,2/1/0829,0,2,12/8/6514
83ff19a2-cb79-456a-b35b-ace010933683,Ecology,6,Hope Pierce,11/12/1515,1/17/5206,0,6,2/5/0616
e4cb327b-5561-4397-8383-826f7f6bbcfa,Ecology,5,Marigold Robe,6/13/7449,4/9/0730,5,3,2/22/6978
9f652f35-fa77-4001-a656-325733164d14,Handwriting,1,Mark Thorne,6/14/4311,6/8/9804,5,7,9/20/7114
9717f829-79f6-4237-b70d-182be954ec43,Accounting,6,Kamila Nobbs,2/12/7327,4/21/4113,6,3,7/24/1916
e1097e1c-ffbd-4423-8e56-ded0bf67c1bd,Physical Education,1,Angel Lane,4/18/4783,11/20/5865,7,6,10/24/5806
370774a9-c3d0-44be-8ba9-3c42403fb342,Earth Science,6,Makenzie Vangness,2/28/6543,12/14/2678,7,7,3/14/0081
32cc8de6-fbca-4017-8d6b-77b5ee3191be,Science,3,Kamila Wild,2/4/7888,1/28/5000,8,0,12/4/8744
d7e3fd76-9388-4501-b0d0-c337151354ff,Handwriting,3,Ema Power,2/8/7714,7/28/0538,0,7,3/19/4251
27c511a1-6fb5-400b-a5e7-04e769b2258d,History,3,Sofie Potts,6/23/1289,2/11/3986,7,7,2/5/6376
4e5ad989-9c1d-42e0-affe-7ab9181d8979,Design and technology,6,Benny Gaynor,2/18/4630,12/23/1573,2,7,3/30/3055
7f3956ae-6e8c-413a-81c1-750754ee9cde,Accounting,0,Julius Button,2/25/8209,1/5/9762,0,6,6/24/2845
cda8644a-194f-4e2b-85c9-515e55b8737d,Health,6,Elise Evans,7/9/9252,1/8/7025,1,0,3/7/8178
a754bf5e-9d87-45be-bcd3-fe7bc0bef648,Language Arts,4,Sylvia Larkin,6/15/6801,12/24/5220,1,3,12/20/5333
4bbed9f8-6eeb-4675-9393-bde16f0d7558,Grammar,7,Stella Neal,6/13/3850,10/30/2407,0,6,6/18/1717
690996e9-0491-40ba-8f70-978e19f0b11e,Instrumental Music,1,Cara Glass,11/2/3330,7/21/4193,8,3,1/10/9922
7242dd1a-29bd-4ad4-b6e9-6b538f333629,Art,7,Brad Notman,10/6/5262,9/27/9654,0,8,9/5/0248
35e3c9e1-4ed2-460e-9ac1-aba42460476a,Trigonometry,3,Mason Hammond,2/9/9949,9/1/3043,8,1,6/27/6133
dac2b486-ba5c-404a-bf57-0047aa2101b5,Trigonometry,8,Matt Glass,9/4/7576,5/22/5628,8,7,8/3/4375
b984f6f9-3499-4b75-b322-3a017e859ce8,History,1,Noah Victor,3/8/0142,10/29/9786,8,8,7/13/6325
d20699b6-ec7e-4371-8f35-38dde3b4af16,Spanish,8,Angelica Jackson,11/8/0616,4/5/1292,1,8,10/11/7302
474c7e68-64c6-4680-9938-e5a958e1ba01,Handwriting,6,Harvey Pearson,5/22/4696,6/11/9492,6,4,10/3/0766
adbfec12-39f4-4e45-87d7-75f16fcb428e,Resource Program,3,Christy Noon,8/23/8146,4/17/2634,2,2,5/14/9799
b978ee17-f6c9-402f-bb5a-14bcddaaf06c,Geography,0,Nicole Ripley,6/5/4805,5/26/8592,3,4,9/28/8130
d0cdeedb-3614-4c27-b08d-e67759b674d4,Art,0,Robyn Talbot,5/20/8592,3/10/9332,3,3,10/1/9468
6a04c02e-236f-4554-9569-aad8b03e0d69,Leadership,7,Adalie Harris,7/3/5646,11/1/8434,5,1,5/28/6552
2053f756-2a14-4c18-92e8-43d80ccf6c56,Geography,6,Mya Simmons,1/9/9359,3/7/7141,3,8,8/27/4531
77011647-7324-4a87-8973-868b6a5af394,Economics,4,Adelaide Wright,1/16/9107,11/15/1082,5,5,7/2/6607
2363bebf-f372-40e6-87a8-cbcbc8ac72ae,Handwriting,1,Tyson Donovan,6/11/4490,1/15/1172,4,0,3/5/3137
7968819e-2fd0-430f-a72d-ae18025fa9b1,Instrumental Music,1,Cassidy Amstead,5/19/0354,9/11/8268,2,8,7/25/6927
695cca33-4ac5-4dbb-b169-caf5ad84fb8f,History,7,Elise Strong,1/15/3024,1/23/2315,3,3,3/12/1682
be4b5aad-37c0-4fd3-b51b-36efefe9fb60,Mathematics,3,Nick Kerr,2/28/6119,5/13/9034,3,4,12/27/9037
84922e6d-52d3-409d-a104-8b496ce4b4b3,Science,5,Roger Murray,1/15/7517,9/21/2972,4,4,2/4/2661
5b1f41ea-2e25-4cba-b87d-1385f3440b60,LOGIC,8,Carter Upsdell,11/18/0504,10/15/8387,8,1,5/16/9585
c930298a-5a89-4578-ad51-cc92d9d7c750,Accounting,0,Bart Irwin,9/24/0840,7/23/3562,8,3,6/13/2344
80250c38-2eee-4a37-a43c-7bccb7a77d27,Modern Literature,1,Aisha Mcneill,10/18/7238,4/30/1140,2,3,11/10/6417
bb494b8a-508f-41e4-9bd8-3bf260ee2ebb,Resource Program,2,Peyton Whittle,1/18/0685,12/9/5929,5,8,9/21/1283
8431e1a3-effc-404d-8706-4b87bbc6d272,Basic Math,1,Carmen Gates,12/20/7066,9/12/9015,3,6,10/20/1787
ef31aa98-1951-4030-842c-f0fcc36cea4a,History,7,Bart Addis,12/1/1693,6/23/8704,4,6,11/16/3325
926629b1-21a8-4cfb-9bb6-4526976d37c3,French,7,Elijah Ross,11/10/7777,6/6/3683,4,4,4/7/2691
89b3e3c8-a156-420f-82d5-47c7f90b82f1,German,5,Aisha Cooper,7/20/9936,7/27/8101,1,8,3/26/3859
d761e0c0-2f52-429c-acee-746d49d0c371,History,4,Isabella Savage,8/7/0112,8/24/6145,5,1,9/7/7000
577c03dc-4dd2-401c-927a-19f4a350c531,Sociology,6,Marie Morrison,4/18/4826,1/14/2603,2,0,11/24/5506
56d938a8-ef6d-4880-8b37-440cc775c8fa,Basic Math,5,Carrie Robertson,3/29/1575,2/1/4451,6,0,6/24/1745
90e61dbe-ec95-4ff5-897a-ba5c4c2989b0,Ancient Civilizations,6,Ron Ogilvy,3/9/1673,3/12/9765,8,0,10/30/9368
8939fee0-bca1-4812-9544-8fda162ab617,Resource Program,2,Cedrick Nielson,5/7/8895,12/8/4134,0,6,5/9/1582
e28616ee-6a7b-4fcf-b692-4774346e104d,Ancient Civilizations,8,Ron Nanton,2/18/6126,10/23/5267,8,1,1/30/8965
370e0a86-6ed4-4582-bd87-cf998dad2341,Grammar,5,Nathan Hepburn,10/11/0719,10/3/9672,8,2,5/31/0328
2dc18460-f6dd-424d-90d4-7a912dbbd43d,Music,3,Claire Steer,9/8/2508,1/30/0955,7,3,10/9/1778
f11ba490-8aa7-4517-9d1b-f01806459869,Dramatics,8,Mayleen Henderson,4/26/4398,12/10/8009,2,2,12/28/3917
8fcb3da6-53bf-46b3-a8e3-28122ecd2c9d,American Literature,5,Lana Fulton,7/21/8110,4/23/9828,4,2,6/11/8069
72997f14-ed85-4d87-882c-2c2f6cdab07b,Modern Literature,6,Caleb Victor,10/27/8335,11/22/8965,7,4,10/11/0838
502cc601-6cfb-4241-ba68-2e558a8c9bfa,Spanish,1,Selena Page ,2/14/7461,4/7/4849,3,5,1/18/2861
ead25152-118e-45e7-93a5-27e28e74e29d,Dramatics,4,Evelynn Tailor,9/9/8964,4/7/9897,5,3,7/18/4222
3e696604-5cf8-4045-ad94-4c3275b7c1b9,Grammar,6,Alexander Gray,9/27/6686,12/2/0123,3,2,2/25/7897
86c72c21-032d-4734-b939-3f66a240b0e7,Language Arts,2,Alexia Clark,3/22/0112,9/8/8456,2,7,10/7/2617
4ce53552-d994-48fa-9efa-5784915a4f82,Art,7,Allison West,4/24/5473,9/23/0371,2,3,1/26/9860
80314b65-8c39-48f9-91ec-d95843ea5392,Resource Program,5,Diane Cooper,5/16/5802,6/18/2030,1,7,4/9/9995
3045053f-e23e-4ae8-b2ac-3214330d6ab2,Speech,5,Adeline Crawford,7/8/0746,8/29/6595,0,2,8/10/6354
4820a864-848d-436c-907a-f831b3bf338f,Spanish,3,Caleb Shaw,9/2/2624,11/28/6604,7,3,5/24/5030
7d846320-1ac1-42e2-82ec-6728f234d999,Economics,6,Destiny Casey,8/20/3640,5/16/0329,4,7,12/7/4315
1b748ea7-7032-4428-9bb6-f43100bcc91c,Music,0,Cecilia Andersson,10/16/3498,6/24/5501,2,6,3/30/9975
77541d5e-0812-47ff-8dad-338e3ae38825,German,5,Domenic Walker,10/23/9297,6/24/7856,1,7,2/16/2686
e645ed8f-ec68-419f-b5e2-753c9d249220,Science,4,Estrella Mooney,5/19/3175,3/9/2311,3,0,3/4/8160
de477e94-dd15-484f-b86f-7a7c5d4e5868,Sociology,8,Peyton Campbell,6/29/5442,12/28/4005,5,5,2/26/7675
